epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.985593,0.83631,3.24337,0.96761,0.00778,1,0.25459,0.21012,0.63297,2.83993,0.86941,2e-05,2e-05,2e-05
2,1.47947,0.9189,3.274,0.98908,0.00778,1,0.26277,0.22239,0.63127,2.83783,0.87042,5.8812e-05,5.8812e-05,5.8812e-05
3,1.93829,0.83708,3.11828,0.97565,0.00778,1,0.5448,0.37333,0.66298,2.818,0.83685,9.604e-05,9.604e-05,9.604e-05
4,2.46748,0.7908,2.60062,0.92452,0.00778,1,0.71566,0.51974,0.68885,2.73398,0.80117,0.000131684,0.000131684,0.000131684
5,2.99832,0.79346,1.97836,0.87606,0.00778,1,0.83667,0.71451,0.6063,2.51045,0.82525,0.000165744,0.000165744,0.000165744
6,3.52066,0.82449,1.44412,0.87979,1,0.27345,0.81227,0.68425,0.61806,2.29753,0.82752,0.00019822,0.00019822,0.00019822
7,4.03421,0.83149,0.9753,0.89346,0.77949,0.57143,0.85318,0.71522,0.63949,2.03709,0.84633,0.000229112,0.000229112,0.000229112
8,4.63634,0.8057,0.86986,0.89333,0.80421,0.57143,0.9425,0.73085,0.71164,1.81365,0.86623,0.00025842,0.00025842,0.00025842
9,5.13148,0.77119,1.10855,0.91526,0.72367,0.75184,0.90944,0.73292,0.74058,1.65922,0.86,0.000286144,0.000286144,0.000286144
10,5.61971,0.74397,1.0044,0.89875,0.84884,0.80731,0.9425,0.76115,0.74728,1.62594,0.85923,0.000312284,0.000312284,0.000312284
11,6.13149,0.77162,0.88148,0.91337,0.85671,0.85457,0.9425,0.78769,0.72311,1.45117,0.84201,0.00033684,0.00033684,0.00033684
12,6.63762,0.74206,0.7458,0.88802,0.86844,0.94752,0.92375,0.7538,0.72805,1.3032,0.84659,0.000359812,0.000359812,0.000359812
13,7.13426,0.74825,0.78444,0.89569,0.6953,1,0.90167,0.68999,0.81204,1.23309,0.86359,0.0003812,0.0003812,0.0003812
14,7.62455,0.74165,0.88684,0.9089,0.77108,1,0.92389,0.69687,0.84801,1.22742,0.86278,0.000401004,0.000401004,0.000401004
15,8.13748,0.73637,0.752,0.88816,0.87493,0.99946,0.96,0.72486,0.80023,1.28133,0.84955,0.000419224,0.000419224,0.000419224
16,8.63842,0.73097,0.77504,0.8831,0.87292,0.98337,0.96,0.75313,0.76605,1.39499,0.85078,0.00043586,0.00043586,0.00043586
17,9.19513,0.73847,0.71126,0.89877,1,0.80321,0.9775,0.79493,0.75695,1.57538,0.85096,0.000450912,0.000450912,0.000450912
18,9.69935,0.75517,0.71399,0.90018,1,0.54253,0.995,0.77261,0.74265,1.77561,0.84496,0.00046438,0.00046438,0.00046438
19,10.1998,0.68924,0.70534,0.89196,1,0.50443,0.995,0.78395,0.75992,1.90627,0.83945,0.000476264,0.000476264,0.000476264
20,10.6984,0.71564,0.6883,0.87603,1,0.86829,0.995,0.79107,0.75896,1.95086,0.82828,0.000486564,0.000486564,0.000486564
21,11.1806,0.69024,0.65825,0.8731,1,0.70356,0.995,0.76211,0.7872,1.91519,0.83743,0.00049528,0.00049528,0.00049528
22,11.6644,0.70943,0.66636,0.89941,1,0.90186,0.995,0.78808,0.74591,1.80359,0.82862,0.000502412,0.000502412,0.000502412
23,12.1628,0.64383,0.62773,0.86282,1,0.939,0.995,0.86251,0.68773,1.64882,0.8196,0.00050796,0.00050796,0.00050796
24,12.6611,0.67358,0.60462,0.87779,1,0.97362,0.995,0.87108,0.67845,1.50767,0.79896,0.000511924,0.000511924,0.000511924
25,13.1659,0.68273,0.59997,0.88348,0.89941,1,0.995,0.84162,0.68704,1.43598,0.79234,0.000514304,0.000514304,0.000514304
26,13.6571,0.63938,0.63948,0.88385,0.95338,1,0.995,0.87123,0.66252,1.40766,0.79891,0.0005151,0.0005151,0.0005151
27,14.2213,0.66305,0.64024,0.88061,0.9866,1,0.995,0.84294,0.69087,1.33097,0.81793,0.000514312,0.000514312,0.000514312
28,14.6855,0.68506,0.59741,0.90105,0.9866,1,0.995,0.84294,0.69087,1.33097,0.81793,0.00051194,0.00051194,0.00051194
29,15.1821,0.64001,0.59795,0.86619,1,0.97529,0.995,0.81484,0.74697,1.26457,0.82945,0.000507984,0.000507984,0.000507984
30,15.6816,0.663,0.59792,0.85399,1,0.99422,0.995,0.84509,0.78342,1.23875,0.8395,0.000502444,0.000502444,0.000502444
31,16.1656,0.68642,0.63571,0.87114,1,0.99422,0.995,0.84509,0.78342,1.23875,0.8395,0.00049532,0.00049532,0.00049532
32,16.6668,0.6374,0.59696,0.87146,0.97239,1,0.995,0.81905,0.77638,1.21743,0.85146,0.000486612,0.000486612,0.000486612
33,17.1525,0.64204,0.59725,0.8769,0.97645,1,0.995,0.81905,0.78038,1.19604,0.85824,0.00047632,0.00047632,0.00047632
34,17.6232,0.6796,0.57036,0.8761,0.97645,1,0.995,0.81905,0.78038,1.19604,0.85824,0.000464444,0.000464444,0.000464444
35,18.1254,0.6647,0.5892,0.88176,0.9696,1,0.995,0.79403,0.79468,1.13787,0.86126,0.000450984,0.000450984,0.000450984
36,18.6304,0.62728,0.57981,0.88197,0.9796,1,0.995,0.80911,0.74314,1.10602,0.83725,0.00043594,0.00043594,0.00043594
37,19.1658,0.66968,0.61352,0.8866,0.9796,1,0.995,0.80911,0.74314,1.10602,0.83725,0.000419312,0.000419312,0.000419312
38,19.6589,0.64652,0.59348,0.86048,0.98842,1,0.995,0.78039,0.74931,1.1144,0.83881,0.0004011,0.0004011,0.0004011
